providerTransactionId,email,userId,provider,amount,currency,status,transactionType,paymentMethod,createdAt,updatedAt,providerReference,fraudRisk,details_invoiceId,details_customerName,details_description
d013dd63-415d-46f3-b06e-491416cd5d59,gamble_rivas@yahoo.com,67d2c41ad8fdb279bf49b86c,Stripe,837.3,USD,disputed,payout,paypal_balance,2024-09-17T04:27:21.008Z,2024-09-18T04:27:21.008Z,0db71838-c8d7-47c3-a7ff-054bc7ecfccd,low,1e55a57d-a378-47a6-aa2b-58ad82d2f2ae,Gamble Rivas,nostrud minim dolor sint tempor consequat aliqua tempor
b2d5cdc9-5e10-47de-a8e1-ecfb18f372e7,wiggins_baird@outlook.com,67d2c41aec832c8789c28431,Stripe,926.13,USD,succeeded,subscription,paypal_balance,2024-11-29T01:58:53.936Z,2024-12-01T01:58:53.936Z,d28ac3a4-96fc-48c2-9623-825cb8792f08,high,2cd9380a-6d5f-4cce-be08-db630fe2253f,Wiggins Baird,qui ex proident culpa et anim quis labore
3ae11aff-b60d-471e-b963-49eab205d352,roberson_burnett@outlook.com,67d2c41adf128110b811d3b4,Stripe,85.65,USD,disputed,payout,paypal_balance,2024-05-16T22:36:55.565Z,2024-05-18T22:36:55.565Z,b1f2ccdc-6560-471a-8e3e-a12a48570b1f,high,618a19ed-b244-4727-ae14-e57f2a7ede51,Roberson Burnett,nostrud elit laborum ipsum nostrud do esse sit
e281781a-1fcb-49e4-8a61-2824d634f8df,lynch_robinson@yahoo.com,67d2c41a4632872254891576,PayPal,450.14,USD,pending,refund,card,2024-11-21T09:47:21.568Z,2024-11-23T09:47:21.568Z,84a721da-bc63-481f-a11c-f5d46620d985,medium,d12b83cc-e7b3-46fb-bea3-bce0b4635c72,Lynch Robinson,sunt velit sint voluptate excepteur aliqua velit consectetur
a619ba16-c331-48ab-a099-314a96d56e57,janet_hubbard@gmail.com,67d2c41a170948ed7565509d,Stripe,625.05,USD,refunded,charge,bank_transfer,2024-07-30T03:58:50.938Z,2024-08-02T03:58:50.938Z,6384c235-81ee-43e7-a82b-1c3e826e82da,high,b544bfc0-aa72-401d-aa59-e8ae2592d560,Janet Hubbard,aliquip deserunt excepteur mollit sunt elit mollit fugiat
3b9b8a00-995b-4598-a96d-e9a9017d4ca2,casey_hinton@outlook.com,67d2c41a23e35897d6bb865b,Stripe,1052.17,USD,refunded,charge,card,2024-04-23T05:39:13.831Z,2024-05-01T05:39:13.831Z,ab7a4264-d742-4d63-8f68-4ede22703b5a,high,9636c854-02b2-4274-a4b7-bb18fdcc00c7,Casey Hinton,proident culpa laboris occaecat adipisicing adipisicing duis eiusmod
81d2d2a5-992d-4763-92d3-c7144d12f699,britney_serrano@outlook.com,67d2c41ac2c175ac73e6c305,Stripe,613.17,USD,refunded,refund,bank_transfer,2024-12-22T12:43:26.365Z,2024-12-29T12:43:26.365Z,fdf43948-ffd9-42ee-9553-b1eccc2a4761,medium,a076dd4e-6b55-45c3-8d88-2efaa7777a2e,Britney Serrano,deserunt ad ea ullamco velit eiusmod dolor et
b285bee0-809c-4e9f-bf1e-bd2d69cba0e9,frances_black@yahoo.com,67d2c41af1d117b7a1c0d2ef,PayPal,505.31,USD,refunded,charge,card,2024-11-09T04:29:48.685Z,2024-11-17T04:29:48.685Z,12d1619f-6520-4e12-bb0b-9908d51d2c8f,high,bac1406b-fe99-4352-8e03-eb1b0d588ecd,Frances Black,deserunt incididunt proident exercitation occaecat ipsum eu quis
4622d057-b138-436f-af98-5b2ad05c3e63,selena_gonzalez@outlook.com,67d2c41ac367ab2b00b68141,PayPal,395.72,USD,pending,subscription,card,2024-11-25T03:45:48.814Z,2024-12-05T03:45:48.814Z,959c2dbf-eb8a-450d-9e74-b357dea6b52d,medium,a1c95744-f945-4485-a712-63968df1ee39,Selena Gonzalez,ullamco adipisicing labore officia excepteur ipsum qui ullamco
3afaece0-576b-4f0f-a719-0f3bda85c726,dominique_randolph@yahoo.com,67d2c41a3861e7972f40b40c,PayPal,72.53,USD,refunded,refund,card,2024-05-23T06:19:53.060Z,2024-05-30T06:19:53.060Z,6d534a96-8e60-403d-808c-e55974073b7c,high,119f8ef8-4c58-46f3-968d-bc60b3d30d1e,Dominique Randolph,occaecat cillum amet enim incididunt exercitation magna do
1e6f1795-464f-4d6b-822f-8ea07aad4ab8,stacey_herman@gmail.com,67d2c41a8010fb2ab039c6c9,PayPal,785.84,USD,pending,charge,card,2024-04-02T12:55:47.394Z,2024-04-09T12:55:47.394Z,a772e17c-1ea3-4fc2-ad32-f378965f98c1,medium,4ac4567a-ce54-43b6-a1ac-cc476e3f1d2b,Stacey Herman,Lorem do cillum tempor veniam elit voluptate irure
a135faf1-b2be-422b-8c86-ae0e0834b9ed,ora_carroll@gmail.com,67d2c41ae36be191c7c6bcf4,PayPal,907.16,USD,disputed,payout,bank_transfer,2024-07-26T23:49:36.420Z,2024-08-03T23:49:36.420Z,32ce33c8-5d14-47d9-90f5-2edbd4fa23ec,medium,6fc7366c-bf9c-4024-80ca-da267876da4b,Ora Carroll,ex excepteur eiusmod Lorem consequat consectetur veniam officia
7e494aab-9106-4dde-b8c1-a5b59d487620,mcintyre_cochran@gmail.com,67d2c41a7b773d2aaf7d366c,PayPal,192.13,USD,refunded,charge,card,2024-09-21T13:50:07.261Z,2024-09-24T13:50:07.261Z,21697ba0-4756-4980-9087-e1b347a3388c,high,026bafa4-6eb8-4398-a5a9-e8b1e6e32403,Mcintyre Cochran,tempor officia aliqua qui aliquip ullamco occaecat excepteur
d7ce4ec6-13c7-4740-9bd0-e626c1addd92,isabel_emerson@yahoo.com,67d2c41a0236c6cf9248e1ca,Stripe,134.33,USD,failed,refund,bank_transfer,2024-05-18T14:13:58.763Z,2024-05-27T14:13:58.763Z,83f519ef-fc42-4c78-b021-1819c3c1b65c,high,9ca492a1-4c51-4192-9be0-2f8821c32fa1,Isabel Emerson,ullamco do proident dolore aute excepteur labore aute
